Record Length,2500,Points,-287.99998108E-6,3.20000015E3,,Record Length,2500,Points,-287.99998108E-6,-72.000004351E-3,,Record Length,2500,Points,-287.99998108E-6,-439.999997616E-3,
Sample Interval,200.00000234E-9,s,-287.79997956E-6,3.00000014E3,,Sample Interval,200.00000234E-9,s,-287.79997956E-6,-72.000004351E-3,,Sample Interval,200.00000234E-9,s,-287.79997956E-6,-399.99997616E-3,
Trigger Point,1.4400000E3,Samples,-287.59997804E-6,3.20000015E3,,Trigger Point,1.4400000E3,Samples,-287.59997804E-6,-80.000005662E-3,,Trigger Point,1.4400000E3,Samples,-287.59997804E-6,-399.99997616E-3,
,,,-287.39997651E-6,3.20000015E3,,,,,-287.39997651E-6,-80.000005662E-3,,,,,-287.39997651E-6,-479.999989271E-3,
,,,-287.19997499E-6,3.00000014E3,,,,,-287.19997499E-6,-72.000004351E-3,,,,,-287.19997499E-6,-439.999997616E-3,
,,,-286.99997347E-6,3.20000015E3,,,,,-286.99997347E-6,-80.000005662E-3,,,,,-286.99997347E-6,-399.99997616E-3,
Source,CH1,,-286.79997195E-6,3.20000015E3,,Source,CH2,,-286.79997195E-6,-80.000005662E-3,,Source,CH3,,-286.79997195E-6,-439.999997616E-3,
Vertical Units,Volts,,-286.59997042E-6,3.20000015E3,,Vertical Units,Volts,,-286.59997042E-6,-80.000005662E-3,,Vertical Units,Volts,,-286.59997042E-6,-519.999980927E-3,
Vertical Scale,5.00000024E3,,-286.39996890E-6,3.00000014E3,,Vertical Scale,200.00000950E-3,,-286.39996890E-6,-80.000005662E-3,,Vertical Scale,999.999977648E-3,,-286.39996890E-6,-519.999980927E-3,
Vertical Offset,0,,-286.19996738E-6,3.00000014E3,,Vertical Offset,0,,-286.19996738E-6,-80.000005662E-3,,Vertical Offset,0,,-286.19996738E-6,-479.999989271E-3,
Horizontal Units,s,,-285.99999496E-6,3.00000014E3,,Horizontal Units,s,,-285.99999496E-6,-72.000004351E-3,,Horizontal Units,s,,-285.99999496E-6,-479.999989271E-3,
Horizontal Scale,50.00000058E-6,,-285.79999343E-6,3.00000014E3,,Horizontal Scale,50.00000058E-6,,-285.79999343E-6,-80.000005662E-3,,Horizontal Scale,50.00000058E-6,,-285.79999343E-6,-519.999980927E-3,
Pt Fmt,Y,,-285.59999191E-6,2.80000013E3,,Pt Fmt,Y,,-285.59999191E-6,-80.000005662E-3,,Pt Fmt,Y,,-285.59999191E-6,-519.999980927E-3,
