
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"9/28/2018 16:36:19";"512";"0";"0";"512";"92.7";
"9/28/2018 16:36:20";"512";"0";"0";"512";"92.8";
"9/28/2018 16:36:21";"512";"0";"0";"512";"92.8";
"9/28/2018 16:36:22";"512";"0";"0";"512";"92.8";
"9/28/2018 16:36:24";"512";"0";"0";"512";"92.8";
"9/28/2018 16:36:25";"512";"0";"0";"512";"92.8";
"9/28/2018 16:36:26";"512";"0";"0";"512";"92.8";
"9/28/2018 16:36:27";"512";"0";"0";"512";"92.7";
"9/28/2018 16:36:28";"512";"0";"0";"512";"92.7";
"9/28/2018 16:36:29";"512";"0";"0";"512";"92.6";
"9/28/2018 16:36:30";"512";"0";"0";"512";"92.6";
"9/28/2018 16:36:31";"512";"0";"0";"512";"92.5";
"9/28/2018 16:36:32";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:33";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:35";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:36";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:37";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:38";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:39";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:40";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:41";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:42";"512";"0";"0";"512";"92.5";
"9/28/2018 16:36:43";"512";"0";"0";"512";"92.5";
"9/28/2018 16:36:44";"512";"0";"0";"512";"92.5";
"9/28/2018 16:36:46";"512";"0";"0";"512";"92.5";
"9/28/2018 16:36:47";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:48";"512";"0";"0";"512";"92.4";
"9/28/2018 16:36:49";"513";"0";"0";"513";"92.4";
"9/28/2018 16:36:50";"513";"0";"0";"513";"92.4";
"9/28/2018 16:36:51";"513";"0";"1";"513";"92.4";
"9/28/2018 16:36:52";"513";"0";"1";"513";"92.4";
"9/28/2018 16:36:53";"513";"0";"1";"513";"92.4";
"9/28/2018 16:36:54";"513";"0";"3";"513";"92.4";
"9/28/2018 16:36:55";"513";"0";"3";"513";"92.4";
"9/28/2018 16:36:57";"513";"0";"3";"513";"92.4";
"9/28/2018 16:36:58";"513";"0";"4";"513";"92.4";
"9/28/2018 16:36:59";"513";"0";"4";"513";"92.4";
"9/28/2018 16:37:00";"513";"0";"5";"513";"92.3";
"9/28/2018 16:37:01";"513";"0";"4";"513";"92.3";
"9/28/2018 16:37:02";"513";"0";"4";"513";"92.3";
"9/28/2018 16:37:03";"513";"0";"3";"513";"92.3";
"9/28/2018 16:37:04";"513";"0";"3";"513";"92.3";
"9/28/2018 16:37:05";"513";"0";"3";"513";"92.4";
