time	Iexterna	Vdbd	Idbd
-2.464E-4	-6.4E-4	-7400	-0.00272
-2.462E-4	-6.4E-4	-7400	-0.00272
-2.46E-4	-6.4E-4	-7400	-0.00272
-2.458E-4	-3.2E-4	-7400	-0.00272
-2.456E-4	-4.8E-4	-7200	-0.00256
-2.454E-4	-4.8E-4	-7600	-0.0024
-2.452E-4	-6.4E-4	-7200	-0.00256
-2.45E-4	-4.8E-4	-7600	-0.00256
-2.448E-4	-4.8E-4	-7400	-0.0024
-2.446E-4	-6.4E-4	-7400	-0.0024
-2.444E-4	-6.4E-4	-7600	-0.0024
-2.442E-4	-3.2E-4	-7800	-0.0024
-2.44E-4	-3.2E-4	-7600	-0.0024
-2.438E-4	-4.8E-4	-7600	-0.00224
-2.436E-4	-4.8E-4	-7600	-0.00224
-2.434E-4	-6.4E-4	-7600	-0.0024
-2.432E-4	-6.4E-4	-7600	-0.00224
-2.43E-4	-6.4E-4	-7600	-0.00224
-2.428E-4	-6.4E-4	-7800	-0.00224
-2.426E-4	-4.8E-4	-7600	-0.00208
-2.424E-4	-4.8E-4	-7600	-0.00192
-2.422E-4	-4.8E-4	-7800	-0.00176
-2.42E-4	-4.8E-4	-7600	-0.00208
-2.418E-4	-3.2E-4	-7800	-0.00176
-2.416E-4	-4.8E-4	-7600	-0.00176
-2.414E-4	-4.8E-4	-7800	-0.0016
-2.412E-4	-4.8E-4	-7600	-0.00176
-2.41E-4	-4.8E-4	-8000	-0.0016
-2.408E-4	-3.2E-4	-7600	-0.00176
-2.406E-4	-3.2E-4	-7800	-0.0016
-2.404E-4	-3.2E-4	-7800	-0.00144
-2.402E-4	-4.8E-4	-7800	-0.00128
-2.4E-4	-3.2E-4	-7600	-0.0016
-2.398E-4	-4.8E-4	-8000	-0.00144
-2.396E-4	-3.2E-4	-7800	-0.00144
-2.394E-4	-8E-4	-8000	-0.00144
-2.392E-4	0	-7800	-0.00144
-2.39E-4	-4.8E-4	-7800	-0.00112
-2.388E-4	-3.2E-4	-8000	-0.00128
-2.386E-4	-3.2E-4	-8000	-0.00112
-2.384E-4	-3.2E-4	-7800	-0.00112
-2.382E-4	-4.8E-4	-8000	-0.00128
-2.38E-4	-4.8E-4	-7600	-9.6E-4
-2.378E-4	-3.2E-4	-7800	-8E-4
-2.376E-4	-3.2E-4	-7800	-8E-4
-2.374E-4	-1.6E-4	-8000	-8E-4
-2.372E-4	-3.2E-4	-8000	-8E-4
-2.37E-4	-4.8E-4	-8200	-8E-4
-2.368E-4	-1.6E-4	-8000	-6.4E-4
-2.366E-4	-1.6E-4	-7800	-8E-4
-2.364E-4	-1.6E-4	-7800	-6.4E-4
-2.362E-4	-3.2E-4	-7800	-8E-4
-2.36E-4	-3.2E-4	-7800	-4.8E-4
-2.358E-4	0	-8000	-3.2E-4
-2.356E-4	-3.2E-4	-8000	-3.2E-4
-2.354E-4	-1.6E-4	-7800	-4.8E-4
-2.352E-4	-1.6E-4	-7800	-3.2E-4
-2.35E-4	-3.2E-4	-8000	-3.2E-4
-2.348E-4	-1.6E-4	-8000	-1.6E-4
-2.346E-4	-1.6E-4	-7800	-3.2E-4
-2.344E-4	-3.2E-4	-7800	-1.6E-4
-2.342E-4	-3.2E-4	-7600	0
-2.34E-4	-1.6E-4	-7800	-1.6E-4
-2.338E-4	-1.6E-4	-7800	0
-2.336E-4	-1.6E-4	-7800	0
-2.334E-4	-1.6E-4	-8000	0
-2.332E-4	0	-7600	1.6E-4
-2.33E-4	0	-7800	1.6E-4
-2.328E-4	-1.6E-4	-7600	3.2E-4
-2.326E-4	3.2E-4	-8000	1.6E-4
-2.324E-4	-1.6E-4	-8000	3.2E-4
-2.322E-4	0	-7800	3.2E-4
-2.32E-4	0	-7800	4.8E-4
-2.318E-4	3.2E-4	-7600	4.8E-4
-2.316E-4	-1.6E-4	-8000	6.4E-4
-2.314E-4	0	-7800	6.4E-4
