
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"10/22/2018 16:00:36";"0";"1";"1";"1";"94.5";
"10/22/2018 16:00:37";"0";"1";"1";"1";"92.6";
"10/22/2018 16:00:38";"0";"1";"1";"1";"89.0";
"10/22/2018 16:00:39";"0";"1";"2";"1";"87.3";
"10/22/2018 16:00:40";"0";"1";"2";"1";"85.7";
"10/22/2018 16:00:41";"0";"3";"2";"3";"84.2";
"10/22/2018 16:00:43";"0";"6";"3";"6";"82.6";
"10/22/2018 16:00:44";"0";"26";"4";"26";"81.3";
"10/22/2018 16:00:46";"0";"42";"6";"42";"78.6";
"10/22/2018 16:00:47";"0";"86";"10";"63";"77.4";
"10/22/2018 16:00:48";"0";"114";"12";"114";"75.0";
"10/22/2018 16:00:49";"0";"144";"16";"144";"73.9";
"10/22/2018 16:00:50";"0";"177";"19";"177";"72.7";
"10/22/2018 16:00:52";"0";"212";"21";"212";"71.7";
"10/22/2018 16:00:53";"0";"212";"24";"212";"70.6";
"10/22/2018 16:00:54";"0";"286";"28";"248";"69.5";
"10/22/2018 16:00:55";"0";"325";"32";"325";"68.5";
"10/22/2018 16:00:56";"0";"365";"35";"365";"67.6";
"10/22/2018 16:00:57";"0";"405";"38";"405";"66.6";
"10/22/2018 16:00:58";"0";"444";"42";"444";"64.8";
"10/22/2018 16:00:59";"0";"479";"45";"479";"63.9";
"10/22/2018 16:01:00";"0";"511";"48";"511";"63.0";
"10/22/2018 16:01:01";"0";"511";"48";"511";"62.1";
"10/22/2018 16:01:03";"1";"562";"54";"563";"61.4";
"10/22/2018 16:01:04";"0";"600";"57";"600";"60.6";
"10/22/2018 16:01:05";"0";"615";"58";"615";"59.9";
"10/22/2018 16:01:06";"0";"615";"60";"615";"59.1";
"10/22/2018 16:01:07";"0";"627";"60";"627";"57.8";
"10/22/2018 16:01:08";"0";"637";"62";"637";"57.1";
"10/22/2018 16:01:09";"1";"646";"62";"647";"56.4";
"10/22/2018 16:01:10";"1";"654";"63";"655";"55.8";
"10/22/2018 16:01:11";"1";"661";"63";"662";"55.2";
"10/22/2018 16:01:13";"1";"666";"63";"667";"54.6";
"10/22/2018 16:01:14";"0";"671";"65";"671";"54.0";
"10/22/2018 16:01:15";"1";"680";"65";"677";"53.4";
"10/22/2018 16:01:16";"0";"684";"65";"684";"52.9";
"10/22/2018 16:01:17";"0";"687";"65";"687";"52.3";
"10/22/2018 16:01:18";"0";"689";"65";"689";"51.7";
"10/22/2018 16:01:19";"0";"692";"65";"692";"51.3";
"10/22/2018 16:01:20";"0";"694";"65";"694";"50.3";
"10/22/2018 16:01:21";"1";"694";"65";"695";"49.8";
"10/22/2018 16:01:22";"0";"695";"65";"695";"49.3";
"10/22/2018 16:01:23";"0";"697";"65";"697";"48.8";
"10/22/2018 16:01:25";"0";"698";"65";"698";"48.3";
"10/22/2018 16:01:26";"0";"699";"65";"699";"48.0";
"10/22/2018 16:01:27";"0";"700";"64";"699";"47.5";
"10/22/2018 16:01:28";"0";"700";"64";"700";"47.0";
"10/22/2018 16:01:29";"0";"699";"64";"699";"46.1";
"10/22/2018 16:01:30";"0";"698";"63";"698";"45.7";
"10/22/2018 16:01:31";"0";"697";"63";"697";"45.3";
"10/22/2018 16:01:32";"0";"697";"63";"697";"45.0";
"10/22/2018 16:01:33";"0";"694";"63";"694";"44.6";
"10/22/2018 16:01:35";"0";"692";"63";"692";"44.2";
"10/22/2018 16:01:36";"0";"692";"63";"692";"43.8";
"10/22/2018 16:01:37";"0";"689";"63";"691";"43.5";
"10/22/2018 16:01:38";"0";"687";"63";"687";"43.1";
"10/22/2018 16:01:39";"0";"685";"63";"685";"42.7";
"10/22/2018 16:01:40";"0";"683";"63";"683";"42.0";
"10/22/2018 16:01:41";"0";"681";"63";"681";"41.7";
"10/22/2018 16:01:42";"0";"679";"63";"679";"41.4";
"10/22/2018 16:01:43";"0";"679";"63";"679";"41.1";
"10/22/2018 16:01:44";"0";"675";"63";"675";"40.8";
"10/22/2018 16:01:46";"0";"674";"63";"674";"40.5";
"10/22/2018 16:01:47";"0";"672";"63";"672";"40.1";
"10/22/2018 16:01:48";"0";"668";"63";"670";"39.8";
"10/22/2018 16:01:49";"0";"666";"63";"666";"39.5";
"10/22/2018 16:01:50";"0";"666";"63";"666";"39.2";
"10/22/2018 16:01:51";"0";"664";"64";"664";"39.0";
"10/22/2018 16:01:52";"0";"662";"63";"662";"38.5";
"10/22/2018 16:01:53";"0";"660";"63";"660";"38.3";
"10/22/2018 16:01:54";"0";"658";"63";"658";"38.1";
"10/22/2018 16:01:55";"0";"657";"64";"657";"37.8";
"10/22/2018 16:01:56";"0";"655";"63";"655";"37.6";
"10/22/2018 16:01:57";"0";"653";"63";"653";"37.3";
"10/22/2018 16:01:59";"0";"651";"63";"651";"37.1";
"10/22/2018 16:02:00";"0";"648";"63";"648";"36.9";
"10/22/2018 16:02:01";"0";"644";"63";"646";"36.6";
"10/22/2018 16:02:02";"0";"642";"63";"642";"36.4";
"10/22/2018 16:02:03";"0";"640";"63";"640";"36.1";
"10/22/2018 16:02:04";"0";"640";"63";"640";"35.9";
